trade_date,displayed_theme_count,count_ge10,rank1_theme,rank1_limit_up_count,rank1_max_board_count,rank1_ladder_completeness,rank1_combined_score,rank2_theme,rank2_limit_up_count,rank2_max_board_count,rank2_ladder_completeness,rank2_combined_score,rank3_theme,rank3_limit_up_count,rank3_max_board_count,rank3_ladder_completeness,rank3_combined_score,rank4_theme,rank4_limit_up_count,rank4_max_board_count,rank4_ladder_completeness,rank4_combined_score,rank5_theme,rank5_limit_up_count,rank5_max_board_count,rank5_ladder_completeness,rank5_combined_score,prior_top1_fate,prior_top1_current_rank,current_top1_origin,top5_overlap_count,new_entry_count
2025-10-30,5,1,三季报增长,14,2,1.0,0.92,锂电池,7,2,1.0,0.81,储能,4,2,1.0,0.51,福建,4,3,0.666667,0.47,量子科技,2,4,0.5,0.29,,,,,
2025-10-31,5,1,三季报增长,16,2,1.0,0.9083333333,锂电池,7,3,1.0,0.7,福建,5,8,0.6,0.6083333333,医药,8,4,0.5,0.6,文化传媒,4,2,1.0,0.4416666667,rank1_hold,1,prev_rank1,3,2
2025-11-03,5,0,化工,7,2,1.0,0.875,海南,5,2,1.0,0.795,三季报增长,4,3,1.0,0.745,钍基熔盐,6,2,1.0,0.745,医药,3,5,0.6,0.515,remain_top5_lower,3,outside_prev_top5,2,3
2025-11-04,5,1,福建,17,10,0.6,0.9142857143,智能电网,5,2,1.0,0.7928571429,化工,3,3,0.666667,0.6642857143,钍基熔盐,3,3,0.666667,0.6214285714,体育产业,2,4,0.5,0.3714285714,remain_top5_lower,3,outside_prev_top5,2,3
2025-11-05,5,2,智能电网,19,3,1.0,0.9590909091,海南,5,4,1.0,0.8181818182,储能,10,2,1.0,0.7863636364,福建,5,11,0.2,0.6863636364,固态电池,4,1,1.0,0.4681818182,remain_top5_lower,4,prev_rank2_to_5,2,3
2025-11-06,5,0,智能电网,8,3,1.0,0.865,化工,9,4,0.75,0.775,燃气轮机,6,2,1.0,0.74,锂电池,6,2,1.0,0.71,金属铝,5,2,1.0,0.56,rank1_hold,1,prev_rank1,1,4
2025-11-07,5,1,锂电池,12,2,1.0,0.955,化工,9,2,1.0,0.84,智能电网,4,4,0.75,0.735,商业航天,4,1,1.0,0.55,环保,3,3,0.666667,0.54,remain_top5_lower,3,prev_rank2_to_5,3,2
2025-11-10,5,0,锂电池,9,3,1.0,0.9666666667,化工,6,3,1.0,0.8375,芯片,6,1,1.0,0.6583333333,食品饮料,5,1,1.0,0.6041666667,光伏,4,2,1.0,0.5666666667,rank1_hold,1,prev_rank1,2,3
2025-11-11,5,1,光伏,11,2,1.0,0.9208333333,锂电池,6,4,0.75,0.7625,机器人概念,6,3,0.666667,0.7458333333,医药,5,10,0.4,0.7,地产链,4,3,1.0,0.6833333333,remain_top5_lower,2,prev_rank2_to_5,2,3
2025-11-12,5,1,医药,10,11,0.4,0.82,天然气,6,2,1.0,0.82,锂电池,5,5,0.6,0.79,零售,3,4,0.75,0.68,光伏,3,3,0.666667,0.57,remain_top5_lower,5,prev_rank2_to_5,3,2
2025-11-13,5,1,锂电池,24,6,0.6,0.9142857143,福建,6,5,0.6,0.8178571429,有色金属,6,3,0.666667,0.8178571429,储能,5,1,1.0,0.5821428571,医药,3,12,0.4,0.5785714286,remain_top5_lower,5,prev_rank2_to_5,2,3
2025-11-14,5,2,海峡两岸,15,6,0.6,0.8611111111,医药,8,5,0.8,0.8055555556,锂电池,10,7,0.6,0.7833333333,煤炭,4,4,0.75,0.6388888889,天然气,4,4,0.5,0.5388888889,remain_top5_lower,3,outside_prev_top5,2,3
2025-11-17,5,2,锂电池,14,8,0.8,0.925,海峡两岸,17,7,0.8,0.909375,并购重组,4,5,0.6,0.728125,华为概念,6,1,1.0,0.678125,人工智能,5,1,1.0,0.578125,remain_top5_lower,2,prev_rank2_to_5,2,3
2025-11-18,5,0,人工智能,9,2,1.0,0.9,芯片,5,2,1.0,0.7357142857,海峡两岸,3,5,0.6,0.6428571429,并购重组,3,6,0.4,0.6,新型工业化,2,2,1.0,0.4,exit_top5,,prev_rank2_to_5,3,2
2025-11-19,5,0,农业,9,4,0.75,0.845,海峡两岸,5,6,0.4,0.685,军工,5,4,0.75,0.675,化工,5,2,1.0,0.65,锂电池,4,6,0.2,0.565,exit_top5,,outside_prev_top5,1,4
2025-11-20,5,0,锂电池,6,3,0.666667,0.875,海峡两岸,5,13,0.4,0.7916666667,军工,3,5,0.4,0.5,通信,3,1,1.0,0.5,地产链,2,2,1.0,0.4333333333,exit_top5,,prev_rank2_to_5,3,2
2025-11-21,5,0,人工智能,7,5,0.6,0.875,地产链,4,5,0.8,0.8583333333,算力,3,2,1.0,0.6083333333,海峡两岸,3,2,1.0,0.475,水产品,2,6,0.2,0.3666666667,exit_top5,,outside_prev_top5,2,3
