initial_role,source_metric,comparison_window,interpretation_note,source_unit,n,mean,median,p25,p75,positive_share
Leader1,forward_terminal_return,pure_forward_after_freeze,primary comparison; strictly after freeze date,decimal_return,224,0.1062204427,0.0979056302,-0.0023480934,0.1716541194,0.7276785714
Leader2,forward_terminal_return,pure_forward_after_freeze,primary comparison; strictly after freeze date,decimal_return,224,0.0824958149,0.0534605297,-0.0228238873,0.1110846720,0.6830357143
Leader3,forward_terminal_return,pure_forward_after_freeze,primary comparison; strictly after freeze date,decimal_return,220,0.0875874821,0.0560394395,0.0025515000,0.1311753549,0.7545454545
ActiveRear,forward_terminal_return,pure_forward_after_freeze,primary comparison; strictly after freeze date,decimal_return,1251,0.0472996568,0.0201440000,-0.0336091408,0.0994405000,0.5827338129
Leader1,forward_max_drawdown,pure_forward_after_freeze,primary comparison; strictly after freeze date,decimal_return,224,-0.0532001039,-0.0172410000,-0.0846717500,0.0000000000,0.0000000000
Leader2,forward_max_drawdown,pure_forward_after_freeze,primary comparison; strictly after freeze date,decimal_return,224,-0.0501819964,-0.0252728127,-0.0800918505,0.0000000000,0.0000000000
Leader3,forward_max_drawdown,pure_forward_after_freeze,primary comparison; strictly after freeze date,decimal_return,220,-0.0421923482,-0.0223275000,-0.0638104413,0.0000000000,0.0000000000
ActiveRear,forward_max_drawdown,pure_forward_after_freeze,primary comparison; strictly after freeze date,decimal_return,1251,-0.0672918462,-0.0410270000,-0.0996605000,-0.0050415000,0.0000000000
Leader1,forward_mfe,pure_forward_after_freeze,primary comparison; strictly after freeze date,decimal_return,224,0.1572849122,0.1000000000,0.0430151938,0.2099891470,0.8616071429
Leader2,forward_mfe,pure_forward_after_freeze,primary comparison; strictly after freeze date,decimal_return,224,0.1292449151,0.0906520956,0.0077664822,0.1562392369,0.7812500000
Leader3,forward_mfe,pure_forward_after_freeze,primary comparison; strictly after freeze date,decimal_return,220,0.1226383924,0.0976614304,0.0129920718,0.1524231684,0.8272727273
ActiveRear,forward_mfe,pure_forward_after_freeze,primary comparison; strictly after freeze date,decimal_return,1251,0.1074446168,0.0508610000,0.0000000000,0.1251201071,0.7354116707
Leader1,episode_terminal_return,inclusive_freeze_to_end,descriptive context; includes freeze-day limit-up,decimal_return,407,0.1683754287,0.1002710000,0.0998680000,0.2098641213,0.9606879607
Leader2,episode_terminal_return,inclusive_freeze_to_end,descriptive context; includes freeze-day limit-up,decimal_return,407,0.1604729528,0.1003460000,0.0998095000,0.2002205000,0.9582309582
