ts_code,name,is_initial_leader1,is_realized_episode_leader,themes,episode_ids,list_date,first_return_date,last_return_date,observed_return_days,compounded_ytd_return,partial_year,list_date_missing,compounded_ytd_return_pct
000008.SZ,神州高铁,1,1,轨道交通,EP000397,1992-05-07,2026-01-05,2026-08-31,155,-0.1122833737,0,0,-11.22833737
000017.SZ,深中华A,1,1,黄金,EP000767;EP000784,1992-03-31,2026-01-05,2026-08-31,160,0.4243907050,0,0,42.4390705
000020.SZ,深华发Ａ,1,1,地产链,EP000363;EP000762,1992-04-28,2026-01-05,2026-08-31,160,-0.0857904847,0,0,-8.57904847
000026.SZ,飞亚达,0,1,国有企业,EP000438,1993-06-03,2026-01-05,2026-08-31,160,0.2467541522,0,0,24.67541522
000031.SZ,大悦城,0,1,地产链,EP000256,1993-10-08,2026-01-05,2026-08-31,160,-0.2198574394,0,0,-21.98574394
000036.SZ,华联控股,1,1,锂电池,EP000179;EP000237,1994-06-17,2026-01-05,2026-08-31,160,-0.3863615661,0,0,-38.63615661
000037.SZ,深南电A,0,1,电力,EP000557,1994-07-01,2026-01-05,2026-08-31,160,0.1688416749,0,0,16.88416749
000048.SZ,京基智农,0,1,猪肉;股权转让,EP000561;EP000592;EP000650,1994-11-01,2026-01-05,2026-08-31,160,0.3034190211,0,0,30.34190211
000056.SZ,皇庭国际,1,1,锂电池,EP000283;EP000307,1996-07-08,2026-01-05,2026-08-31,159,0.0796002004,0,0,7.96002004
000062.SZ,深圳华强,1,1,华为昇腾,EP000461,1997-01-30,2026-01-05,2026-08-31,160,-0.0000776710,0,0,-0.0077671
000070.SZ,特发信息,0,1,算力,EP000082,2000-05-11,2026-01-05,2026-08-31,160,0.3415639795,0,0,34.15639795
000078.SZ,海王生物,1,1,医药,EP000102;EP000112,1998-12-18,2026-01-05,2026-08-31,159,-0.5809237794,0,0,-58.09237794
000100.SZ,TCL科技,1,1,面板,EP000620,2004-01-30,2026-01-05,2026-08-31,160,0.1431783016,0,0,14.31783016
