section,group,ts_code,name,themes,episode_ids,n,positive_share,mean,median,p25,p75,min,max,partial_year_n,return,rank,label
group_summary,all,,,,,678,0.5,0.2151153396,0.0009147627,-0.1870724864,0.3835703258,-0.6413589742,5.4220771881,3,,,descriptive 2026 YTD through 2026-08-31
group_summary,initial_Leader1,,,,,319,0.5360501567,0.251478495,0.0452717238,-0.1857971369,0.4739679756,-0.6413589742,3.8210519261,0,,,descriptive 2026 YTD through 2026-08-31
group_summary,realized_episode_leader,,,,,577,0.4974003466,0.214425973,-0.0004976863,-0.1868435966,0.3726655361,-0.6413589742,5.4220771881,3,,,descriptive 2026 YTD through 2026-08-31
group_summary,both,,,,,218,0.5458715596,0.2665010371,0.072586469,-0.1732074229,0.4784259866,-0.6413589742,3.8210519261,0,,,descriptive 2026 YTD through 2026-08-31
bottom20,,002163.SZ,海南发展,海南,EP000132;EP000159;EP000178,,,,,,,,,,-0.6413589742,1,hindsight descriptive; not an investment ranking
bottom20,,002759.SZ,天际股份,锂电池,EP000165,,,,,,,,,,-0.6284733950,2,hindsight descriptive; not an investment ranking
bottom20,,600343.SH,航天动力,商业航天,EP000086;EP000683,,,,,,,,,,-0.6250775873,3,hindsight descriptive; not an investment ranking
bottom20,,600734.SH,实达集团,算力,EP000082,,,,,,,,,,-0.6239115359,4,hindsight descriptive; not an investment ranking
bottom20,,000078.SZ,海王生物,医药,EP000102;EP000112,,,,,,,,,,-0.5809237794,5,hindsight descriptive; not an investment ranking
bottom20,,000547.SZ,航天发展,军工,EP000075;EP000084,,,,,,,,,,-0.5692208470,6,hindsight descriptive; not an investment ranking
bottom20,,000592.SZ,平潭发展,海峡两岸;福建,EP000003;EP000114;EP000378;EP000387,,,,,,,,,,-0.5649347793,7,hindsight descriptive; not an investment ranking
bottom20,,000572.SZ,海马汽车,海南,EP000011,,,,,,,,,,-0.5281881548,8,hindsight descriptive; not an investment ranking
bottom20,,600113.SH,浙江东日,零售,EP000615,,,,,,,,,,-0.5228053783,9,hindsight descriptive; not an investment ranking
bottom20,,603216.SH,梦天家居,地产链,EP000079;EP000097,,,,,,,,,,-0.5137237496,10,hindsight descriptive; not an investment ranking
bottom20,,603131.SH,上海沪工,商业航天,EP000036;EP000050,,,,,,,,,,-0.5110758144,11,hindsight descriptive; not an investment ranking
bottom20,,603122.SH,合富中国,医药;海峡两岸,EP000007;EP000021;EP000039;EP000063,,,,,,,,,,-0.5090166869,12,hindsight descriptive; not an investment ranking
bottom20,,603185.SH,弘元绿能,光伏,EP000035,,,,,,,,,,-0.5048259092,13,hindsight descriptive; not an investment ranking
bottom20,,600340.SH,华夏幸福,地产链,EP000060,,,,,,,,,,-0.4977173585,14,hindsight descriptive; not an investment ranking
bottom20,,002691.SZ,冀凯股份,新型工业化,EP000052,,,,,,,,,,-0.4917160981,15,hindsight descriptive; not an investment ranking
bottom20,,688311.SH,盟升电子,商业航天,EP000635,,,,,,,,,,-0.4850885255,16,hindsight descriptive; not an investment ranking
bottom20,,002501.SZ,利源股份,金属铝,EP000389,,,,,,,,,,-0.4819228450,17,hindsight descriptive; not an investment ranking
bottom20,,300427.SZ,红相股份,军工,EP000066,,,,,,,,,,-0.4759184035,18,hindsight descriptive; not an investment ranking
bottom20,,600693.SH,东百集团,零售,EP000043;EP000128;EP000706,,,,,,,,,,-0.4750445348,19,hindsight descriptive; not an investment ranking
