cohort,metric,unit,n,mean,median,p25,p75,theme_count,headline_share
recurrent_union,episode_count,count_per_theme,80,9.2,6.0,3.0,13.25,80,0.8625
recurrent_union,active_days,count_per_theme,80,22.975,9.0,3.75,28.25,80,0.8625
recurrent_union,displayed_days,count_per_theme,80,12.3,4.0,1.0,12.0,80,0.8625
recurrent_union,total_limit_up_count,count_per_theme,80,135.2625,38.0,16.0,141.25,80,0.8625
recurrent_union,peak_limit_up_count,count_per_theme,80,13.8625,8.0,5.0,20.75,80,0.8625
recurrent_union,peak_max_board_count,count_per_theme,80,5.2875,5.0,3.0,6.25,80,0.8625
recurrent_union,episode_active_day_duration,trading_days_per_episode,736,2.4972826087,1.0,1.0,2.0,80,0.8625
single_wave_multiday,episode_count,count_per_theme,10,1.0,1.0,1.0,1.0,10,0.8
single_wave_multiday,active_days,count_per_theme,10,3.6,2.0,2.0,2.75,10,0.8
single_wave_multiday,displayed_days,count_per_theme,10,2.2,1.0,1.0,1.75,10,0.8
single_wave_multiday,total_limit_up_count,count_per_theme,10,26.6,10.5,7.5,19.25,10,0.8
single_wave_multiday,peak_limit_up_count,count_per_theme,10,10.8,7.0,5.0,14.0,10,0.8
single_wave_multiday,peak_max_board_count,count_per_theme,10,3.6,3.0,2.25,4.75,10,0.8
single_wave_multiday,episode_active_day_duration,trading_days_per_episode,10,3.6,2.0,2.0,2.75,10,0.8
single_wave_one_day,episode_count,count_per_theme,47,1.0,1.0,1.0,1.0,47,0.2765957447
single_wave_one_day,active_days,count_per_theme,47,1.0,1.0,1.0,1.0,47,0.2765957447
single_wave_one_day,displayed_days,count_per_theme,47,0.2765957447,0.0,0.0,1.0,47,0.2765957447
single_wave_one_day,total_limit_up_count,count_per_theme,47,3.2765957447,3.0,2.0,4.0,47,0.2765957447
single_wave_one_day,peak_limit_up_count,count_per_theme,47,3.2765957447,3.0,2.0,4.0,47,0.2765957447
single_wave_one_day,peak_max_board_count,count_per_theme,47,1.8723404255,2.0,1.0,2.0,47,0.2765957447
single_wave_one_day,episode_active_day_duration,trading_days_per_episode,47,1.0,1.0,1.0,1.0,47,0.2765957447
