section,group,n,share,denominator,mean,median,p25,p75
prior_top1_fate,exit_top5,65,0.318627451,204,,,,
prior_top1_fate,rank1_hold,55,0.2696078431,204,,,,
prior_top1_fate,remain_top5_lower,84,0.4117647059,204,,,,
current_top1_origin,outside_prev_top5,72,0.3529411765,204,,,,
current_top1_origin,prev_rank1,55,0.2696078431,204,,,,
current_top1_origin,prev_rank2_to_5,77,0.3774509804,204,,,,
top5_overlap_count_distribution,0,3,0.0147058824,204,,,,
top5_overlap_count_distribution,1,37,0.181372549,204,,,,
top5_overlap_count_distribution,2,80,0.3921568627,204,,,,
top5_overlap_count_distribution,3,64,0.3137254902,204,,,,
top5_overlap_count_distribution,4,19,0.0931372549,204,,,,
top5_overlap_count_distribution,5,1,0.0049019608,204,,,,
top5_overlap_count_summary,all_pairs,204,,204,2.3039215686,2.0,2.0,3.0
new_entry_count_distribution,0,1,0.0049019608,204,,,,
new_entry_count_distribution,1,21,0.1029411765,204,,,,
new_entry_count_distribution,2,64,0.3137254902,204,,,,
new_entry_count_distribution,3,81,0.3970588235,204,,,,
new_entry_count_distribution,4,34,0.1666666667,204,,,,
new_entry_count_distribution,5,3,0.0147058824,204,,,,
new_entry_count_summary,all_pairs,204,,204,2.6617647059,3.0,2.0,3.0
rank_transition_type,exit,478,0.3070006423,1557,,,,
rank_transition_type,fall,97,0.0622992935,1557,,,,
rank_transition_type,new_entry,543,0.3487475915,1557,,,,
rank_transition_type,rank1_exit,65,0.0417469493,1557,,,,
rank_transition_type,rank1_hold,55,0.0353243417,1557,,,,
rank_transition_type,rank1_to_lower,84,0.0539499037,1557,,,,
rank_transition_type,rise,157,0.100834939,1557,,,,
rank_transition_type,stable,78,0.0500963391,1557,,,,
