primary_theme,episode_id,start_date,end_date,role_freeze_date,active_day_count,displayed_day_count,emitted_trading_day_count,emitted_active_day_count,t_top3,frozen_top3,role_paths
AI PC,EP000534,2026-06-01,2026-06-02,2026-06-01,2,1,2,2,Dragon1=002579.SZ:中京电子;Dragon2=603890.SH:春秋电子;Dragon3=002426.SZ:胜利精密,Dragon1=002579.SZ:中京电子;Dragon2=603890.SH:春秋电子;Dragon3=002426.SZ:胜利精密,002426.SZ:胜利精密=t0:Dragon3|t1:out;;002579.SZ:中京电子=t0:Dragon1|t1:Dragon1;;603890.SH:春秋电子=t0:Dragon2|t1:Dragon2
一季报增长,EP000415,2026-04-08,2026-05-06,2026-04-14,16,12,18,16,Dragon1=002384.SZ:东山精密;Dragon2=605016.SH:百龙创园;Dragon3=300475.SZ:香农芯创,Dragon1=002297.SZ:博云新材;Dragon2=300857.SZ:协创数据;Dragon3=301219.SZ:腾远钴业,000402.SZ:金融街=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:Dragon2;;000612.SZ:焦作万方=t0:out|t1:out|t2:out|t3:Dragon3|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;001266.SZ:宏英智能=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:Dragon3|t15:Dragon2|t16:out|t17:out;;001314.SZ:亿道信息=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:Dragon3|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;001332.SZ:锡装股份=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:Dragon3|t14:out|t15:out|t16:out|t17:out;;002033.SZ:丽江股份=t0:out|t1:out|t2:out|t3:out|t4:out|t5:Dragon3|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;002039.SZ:黔源电力=t0:out|t1:Dragon2|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;002154.SZ:报喜鸟=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:Dragon2|t14:out|t15:out|t16:out|t17:out;;002210.SZ:飞马国际=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:Dragon1|t15:Dragon1|t16:out|t17:Dragon1;;002297.SZ:博云新材=t0:out|t1:out|t2:out|t3:Dragon2|t4:Dragon1|t5:out|t6:Dragon1|t7:Dragon1|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;002384.SZ:东山精密=t0:Dragon1|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;002439.SZ:启明星辰=t0:out|t1:out|t2:out|t3:Dragon1|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;002468.SZ:申通快递=t0:out|t1:out|t2:out|t3:out|t4:out|t5:Dragon1|t6:Dragon2|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;002588.SZ:史丹利=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:Dragon1|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;002645.SZ:华宏科技=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:Dragon1|t17:out;;002752.SZ:昇兴股份=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:Dragon2|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;002842.SZ:翔鹭钨业=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:Dragon2|t17:out;;003006.SZ:百亚股份=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:Dragon3|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;300422.SZ:博世科=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:Dragon3|t13:out|t14:out|t15:out|t16:out|t17:out;;300475.SZ:香农芯创=t0:Dragon3|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;300590.SZ:移为通信=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:Dragon2|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;300857.SZ:协创数据=t0:out|t1:out|t2:out|t3:out|t4:Dragon2|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;301219.SZ:腾远钴业=t0:out|t1:out|t2:out|t3:out|t4:Dragon3|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;301500.SZ:飞南资源=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:Dragon1|t14:out|t15:out|t16:out|t17:out;;600727.SH:鲁北化工=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:Dragon3|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;600961.SH:株冶集团=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:Dragon2|t8:Dragon1|t9:Dragon1|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;601061.SH:中信金属=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:Dragon2|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;601101.SH:昊华能源=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:Dragon2|t15:out|t16:out|t17:out;;603025.SH:大豪科技=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:Dragon2|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;603045.SH:福达合金=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:Dragon3;;603066.SH:音飞储存=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:Dragon2|t13:out|t14:out|t15:out|t16:out|t17:out;;603317.SH:天味食品=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:Dragon3|t16:out|t17:out;;603390.SH:通达电气=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:Dragon1|t12:Dragon1|t13:out|t14:out|t15:out|t16:out|t17:out;;603444.SH:吉比特=t0:out|t1:out|t2:out|t3:out|t4:out|t5:Dragon2|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;603606.SH:东方电缆=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:Dragon3|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;603726.SH:朗迪集团=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:Dragon3|t17:out;;603906.SH:龙蟠科技=t0:out|t1:out|t2:out|t3:out|t4:out|t5:out|t6:Dragon3|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;605016.SH:百龙创园=t0:Dragon2|t1:out|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;605117.SH:德业股份=t0:out|t1:out|t2:Dragon1|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;605189.SH:富春染织=t0:out|t1:Dragon1|t2:out|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out;;688690.SH:纳微科技=t0:out|t1:out|t2:Dragon2|t3:out|t4:out|t5:out|t6:out|t7:out|t8:out|t9:out|t10:out|t11:out|t12:out|t13:out|t14:out|t15:out|t16:out|t17:out
三季报增长,EP000001,2025-10-30,2025-11-03,2025-10-30,3,3,3,3,Dragon1=002196.SZ:方正电机;Dragon2=002418.SZ:康盛股份;Dragon3=603067.SH:振华股份,Dragon1=002196.SZ:方正电机;Dragon2=002418.SZ:康盛股份;Dragon3=603067.SH:振华股份,002196.SZ:方正电机=t0:Dragon1|t1:out|t2:out;;002418.SZ:康盛股份=t0:Dragon2|t1:out|t2:Dragon1;;002636.SZ:金安国纪=t0:out|t1:Dragon2|t2:out;;603067.SH:振华股份=t0:Dragon3|t1:out|t2:out;;603185.SH:弘元绿能=t0:out|t1:Dragon1|t2:out;;603629.SH:利通电子=t0:out|t1:Dragon3|t2:Dragon3;;603929.SH:亚翔集成=t0:out|t1:out|t2:Dragon2
低空经济,EP000556,2026-06-09,2026-06-12,,3,0,4,3,Dragon1=001696.SZ:宗申动力;Dragon2=300411.SZ:金盾股份;Dragon3=,,000099.SZ:中信海直=t0:out|t1:out|t2:out|t3:Dragon2;;001696.SZ:宗申动力=t0:Dragon1|t1:Dragon3|t2:Dragon1|t3:Dragon1;;300411.SZ:金盾股份=t0:Dragon2|t1:out|t2:out|t3:out;;600178.SH:东安动力=t0:out|t1:Dragon2|t2:Dragon2|t3:out;;600576.SH:祥源文旅=t0:out|t1:out|t2:out|t3:Dragon3;;600843.SH:上工申贝=t0:out|t1:Dragon1|t2:out|t3:out
华为昇腾,EP000461,2026-04-24,2026-04-27,2026-04-24,2,1,2,2,Dragon1=000062.SZ:深圳华强;Dragon2=600633.SH:浙数文化;Dragon3=002331.SZ:皖通科技,Dragon1=000062.SZ:深圳华强;Dragon2=600633.SH:浙数文化;Dragon3=002331.SZ:皖通科技,000062.SZ:深圳华强=t0:Dragon1|t1:Dragon1;;002331.SZ:皖通科技=t0:Dragon3|t1:out;;301248.SZ:杰创智能=t0:out|t1:Dragon2;;600633.SH:浙数文化=t0:Dragon2|t1:out
文创产品,EP000155,2025-12-18,2025-12-19,2025-12-18,2,1,2,2,Dragon1=600250.SH:南京商旅;Dragon2=002103.SZ:广博股份;Dragon3=603777.SH:来伊份,Dragon1=600250.SH:南京商旅;Dragon2=002103.SZ:广博股份;Dragon3=603777.SH:来伊份,000863.SZ:三湘印象=t0:out|t1:Dragon1;;002103.SZ:广博股份=t0:Dragon2|t1:out;;300703.SZ:创源股份=t0:out|t1:Dragon3;;300947.SZ:德必集团=t0:out|t1:Dragon2;;600250.SH:南京商旅=t0:Dragon1|t1:out;;603777.SH:来伊份=t0:Dragon3|t1:out
水产品,EP000081,2025-11-21,2025-11-24,2025-11-21,2,1,2,2,Dragon1=000798.SZ:中水渔业;Dragon2=002069.SZ:獐子岛;Dragon3=002696.SZ:百洋股份,Dragon1=000798.SZ:中水渔业;Dragon2=002069.SZ:獐子岛;Dragon3=002696.SZ:百洋股份,000798.SZ:中水渔业=t0:Dragon1|t1:Dragon1;;002069.SZ:獐子岛=t0:Dragon2|t1:out;;002696.SZ:百洋股份=t0:Dragon3|t1:out;;600097.SH:开创国际=t0:out|t1:Dragon2
疫苗概念,EP000766,2026-08-20,2026-08-21,2026-08-20,2,1,2,2,Dragon1=688356.SH:键凯科技;Dragon2=688276.SH:百克生物;Dragon3=688185.SH:康希诺,Dragon1=688356.SH:键凯科技;Dragon2=688276.SH:百克生物;Dragon3=688185.SH:康希诺,000931.SZ:中关村=t0:out|t1:Dragon3;;002038.SZ:双鹭药业=t0:out|t1:Dragon1;;688185.SH:康希诺=t0:Dragon3|t1:out;;688276.SH:百克生物=t0:Dragon2|t1:out;;688356.SH:键凯科技=t0:Dragon1|t1:Dragon2
重庆市,EP000032,2025-11-06,2025-11-07,,2,0,2,2,Dragon1=000838.SZ:财信发展;Dragon2=600939.SH:重庆建工;Dragon3=000514.SZ:渝开发,,000514.SZ:渝开发=t0:Dragon3|t1:Dragon2;;000838.SZ:财信发展=t0:Dragon1|t1:out;;600939.SH:重庆建工=t0:Dragon2|t1:Dragon1
钍基熔盐,EP000015,2025-11-03,2025-11-04,2025-11-03,2,2,2,2,Dragon1=603169.SH:兰石重装;Dragon2=002266.SZ:浙富控股;Dragon3=002255.SZ:海陆重工,Dragon1=603169.SH:兰石重装;Dragon2=002266.SZ:浙富控股;Dragon3=002255.SZ:海陆重工,002255.SZ:海陆重工=t0:Dragon3|t1:Dragon2;;002266.SZ:浙富控股=t0:Dragon2|t1:out;;300402.SZ:宝色股份=t0:out|t1:Dragon3;;603169.SH:兰石重装=t0:Dragon1|t1:Dragon1
