primary_theme,episode_id,trade_date,tau_trade,tau_active,is_active,is_displayed,candidate_count,dragon1_ts_code,dragon1_name,dragon2_ts_code,dragon2_name,dragon3_ts_code,dragon3_name,t_dragon1_ts_code,t_dragon1_name,t_dragon2_ts_code,t_dragon2_name,t_dragon3_ts_code,t_dragon3_name,t_dragon1_stays_dragon1,t_dragon1_stays_top3,t_dragon23_available_slots,t_dragon23_retained_count,t_dragon23_promoted_to_dragon1,daily_top3_available_slots,new_daily_top3_count,new_daily_top3,role_freeze_date,start_equals_freeze,freeze_validation_status
AI PC,EP000534,2026-06-01,0,0,1,1,8,002579.SZ,中京电子,603890.SH,春秋电子,002426.SZ,胜利精密,002579.SZ,中京电子,603890.SH,春秋电子,002426.SZ,胜利精密,1,1,2,2,0,3,0,,2026-06-01,1,ok
AI PC,EP000534,2026-06-02,1,1,1,0,2,002579.SZ,中京电子,603890.SH,春秋电子,,,002579.SZ,中京电子,603890.SH,春秋电子,002426.SZ,胜利精密,1,1,2,1,0,2,0,,2026-06-01,1,ok
一季报增长,EP000415,2026-04-08,0,0,1,0,4,002384.SZ,东山精密,605016.SH,百龙创园,300475.SZ,香农芯创,002384.SZ,东山精密,605016.SH,百龙创园,300475.SZ,香农芯创,1,1,2,2,0,3,0,,2026-04-14,0,not_applicable
一季报增长,EP000415,2026-04-09,1,,0,0,2,605189.SH,富春染织,002039.SZ,黔源电力,,,002384.SZ,东山精密,605016.SH,百龙创园,300475.SZ,香农芯创,0,0,2,0,0,2,2,605189.SH:富春染织;002039.SZ:黔源电力,2026-04-14,0,not_applicable
一季报增长,EP000415,2026-04-10,2,,0,0,2,605117.SH,德业股份,688690.SH,纳微科技,,,002384.SZ,东山精密,605016.SH,百龙创园,300475.SZ,香农芯创,0,0,2,0,0,2,2,605117.SH:德业股份;688690.SH:纳微科技,2026-04-14,0,not_applicable
一季报增长,EP000415,2026-04-13,3,1,1,0,5,002439.SZ,启明星辰,002297.SZ,博云新材,000612.SZ,焦作万方,002384.SZ,东山精密,605016.SH,百龙创园,300475.SZ,香农芯创,0,0,2,0,0,3,3,002439.SZ:启明星辰;002297.SZ:博云新材;000612.SZ:焦作万方,2026-04-14,0,not_applicable
一季报增长,EP000415,2026-04-14,4,2,1,1,3,002297.SZ,博云新材,300857.SZ,协创数据,301219.SZ,腾远钴业,002384.SZ,东山精密,605016.SH,百龙创园,300475.SZ,香农芯创,0,0,2,0,0,3,3,002297.SZ:博云新材;300857.SZ:协创数据;301219.SZ:腾远钴业,2026-04-14,0,not_applicable
一季报增长,EP000415,2026-04-15,5,3,1,0,3,002468.SZ,申通快递,603444.SH,吉比特,002033.SZ,丽江股份,002384.SZ,东山精密,605016.SH,百龙创园,300475.SZ,香农芯创,0,0,2,0,0,3,3,002468.SZ:申通快递;603444.SH:吉比特;002033.SZ:丽江股份,2026-04-14,0,not_applicable
一季报增长,EP000415,2026-04-16,6,4,1,1,5,002297.SZ,博云新材,002468.SZ,申通快递,603906.SH,龙蟠科技,002384.SZ,东山精密,605016.SH,百龙创园,300475.SZ,香农芯创,0,0,2,0,0,3,3,002297.SZ:博云新材;002468.SZ:申通快递;603906.SH:龙蟠科技,2026-04-14,0,not_applicable
一季报增长,EP000415,2026-04-17,7,5,1,1,3,002297.SZ,博云新材,600961.SH,株冶集团,600727.SH,鲁北化工,002384.SZ,东山精密,605016.SH,百龙创园,300475.SZ,香农芯创,0,0,2,0,0,3,3,002297.SZ:博云新材;600961.SH:株冶集团;600727.SH:鲁北化工,2026-04-14,0,not_applicable
一季报增长,EP000415,2026-04-20,8,6,1,1,5,600961.SH,株冶集团,603025.SH,大豪科技,003006.SZ,百亚股份,002384.SZ,东山精密,605016.SH,百龙创园,300475.SZ,香农芯创,0,0,2,0,0,3,3,600961.SH:株冶集团;603025.SH:大豪科技;003006.SZ:百亚股份,2026-04-14,0,not_applicable
一季报增长,EP000415,2026-04-21,9,7,1,0,2,600961.SH,株冶集团,002752.SZ,昇兴股份,,,002384.SZ,东山精密,605016.SH,百龙创园,300475.SZ,香农芯创,0,0,2,0,0,2,2,600961.SH:株冶集团;002752.SZ:昇兴股份,2026-04-14,0,not_applicable
