primary_theme,is_headline,lifecycle_class,episode_count,strict_recurrence,gap_recurrence,recurrent_union,active_days,displayed_days,first_active_date,last_active_date,total_episode_active_days,median_episode_active_days,max_episode_active_days,total_limit_up_count,peak_limit_up_count,peak_max_board_count,best_rank_combined,distinct_realized_leader_count,realized_leaders,after_fade_comparisons,after_fade_switches,after_fade_switch_rate
3D打印,0,single_wave_one_day,1,0,0,0,1,0,2025-11-24,2025-11-24,1,1,1,2,2,2,8,1,001296.SZ:长江材料,0,0,
AI PC,1,single_wave_multiday,1,0,0,0,2,1,2026-06-01,2026-06-02,2,2,2,10,8,5,4,1,002579.SZ:中京电子,0,0,
AIGC,0,single_wave_one_day,1,0,0,0,1,0,2025-10-31,2025-10-31,1,1,1,3,3,1,6,1,300071.SZ:福石控股,0,0,
AI医疗,0,single_wave_one_day,1,0,0,0,1,0,2025-12-18,2025-12-18,1,1,1,4,4,2,6,1,002044.SZ:美年健康,0,0,
AI应用,1,recurrent_union,16,1,0,1,39,24,2026-02-09,2026-08-31,39,1.0,11,280,26,8,1,16,603103.SH:横店影视;688118.SH:普元信息;000839.SZ:国安股份;301428.SZ:世纪恒通;002181.SZ:粤传媒;603898.SH:好莱客;300616.SZ:尚品宅配;002421.SZ:达实智能;002995.SZ:天地在线;002354.SZ:天娱数科;300588.SZ:熙菱信息;002830.SZ:名雕股份;300071.SZ:福石控股;000892.SZ:欢瑞世纪;003032.SZ:传智教育;002949.SZ:华阳国际,15,15,1.0
AI智能体,1,single_wave_one_day,1,0,0,0,1,1,2025-12-30,2025-12-30,1,1,1,6,6,3,3,1,605069.SH:正和生态,0,0,
PTFE,0,single_wave_one_day,1,0,0,0,1,0,2026-08-27,2026-08-27,1,1,1,4,4,1,6,1,301591.SZ:肯特股份,0,0,
ST摘帽,1,recurrent_union,6,1,1,1,16,4,2026-04-20,2026-08-04,16,1.5,7,50,6,4,2,6,603268.SH:松发股份;600130.SH:波导股份;000518.SZ:四环生物;002047.SZ:宝鹰股份;000656.SZ:金科股份;000820.SZ:神雾节能,5,5,1.0
一季报增长,1,single_wave_multiday,1,0,0,0,16,12,2026-04-08,2026-05-06,16,16,16,153,37,5,1,1,002297.SZ:博云新材,0,0,
一带一路,0,single_wave_one_day,1,0,0,0,1,0,2025-12-25,2025-12-25,1,1,1,2,2,2,7,1,002800.SZ:天顺股份,0,0,
三季报增长,1,single_wave_multiday,1,0,0,0,3,3,2025-10-30,2025-11-03,3,3,3,34,16,3,1,1,002418.SZ:康盛股份,0,0,
两轮车,1,single_wave_one_day,1,0,0,0,1,1,2026-03-31,2026-03-31,1,1,1,4,4,2,5,1,301008.SZ:宏昌科技,0,0,
中字头,0,single_wave_one_day,1,0,0,0,1,0,2026-06-17,2026-06-17,1,1,1,3,3,3,6,1,000777.SZ:中核科技,0,0,
中报增长,1,recurrent_union,2,1,0,1,22,15,2026-07-01,2026-08-31,22,11.0,13,152,25,5,1,2,002396.SZ:星网锐捷;603269.SH:海鸥股份,1,1,1.0
人工智能,1,recurrent_union,12,1,0,1,43,28,2025-11-17,2026-08-13,43,1.5,16,365,73,6,1,12,002474.SZ:榕基软件;600981.SH:苏豪汇鸿;300986.SZ:志特新材;002995.SZ:天地在线;002830.SZ:名雕股份;603138.SH:海量数据;600545.SH:卓郎智能;002421.SZ:达实智能;301428.SZ:世纪恒通;605069.SH:正和生态;002432.SZ:九安医疗;000887.SZ:中鼎股份,11,11,1.0
低空经济,0,single_wave_multiday,1,0,0,0,3,0,2026-06-09,2026-06-12,3,3,3,11,5,4,6,1,001696.SZ:宗申动力,0,0,
体育产业,1,recurrent_union,8,1,0,1,9,5,2025-11-04,2026-05-15,9,1.0,2,29,5,5,3,6,002181.SZ:粤传媒;600684.SH:珠江股份;002678.SZ:珠江钢琴;605299.SH:舒华体育;300651.SZ:金陵体育;002395.SZ:双象股份,7,6,0.8571428571
保健品,0,single_wave_one_day,1,0,0,0,1,0,2026-03-27,2026-03-27,1,1,1,3,3,2,8,1,002038.SZ:双鹭药业,0,0,
储能,1,recurrent_union,9,1,0,1,11,9,2025-10-30,2026-08-24,11,1,2,52,10,3,1,9,002150.SZ:通润装备;603759.SH:海天股份;001266.SZ:宏英智能;002350.SZ:北京科锐;002506.SZ:协鑫集成;603778.SH:国晟科技;300827.SZ:上能电气;002328.SZ:新朋股份;002015.SZ:协鑫能科,8,8,1.0
元器件,1,recurrent_union,10,1,0,1,25,12,2026-02-24,2026-08-14,25,1.0,11,157,14,6,1,8,603738.SH:泰晶科技;603115.SH:海星股份;600367.SH:红星发展;603678.SH:火炬电子;603989.SH:艾华集团;603435.SH:嘉德利;002951.SZ:金时科技;000636.SZ:风华高科,9,8,0.8888888889
光伏,1,recurrent_union,16,1,1,1,34,17,2025-11-03,2026-08-03,34,1.5,7,182,34,5,1,12,600475.SH:华光环能;603778.SH:国晟科技;300118.SZ:东方日升;002865.SZ:钧达股份;002218.SZ:拓日新能;002506.SZ:协鑫集成;300317.SZ:珈伟新能;002323.SZ:雅博股份;002309.SZ:中利集团;002634.SZ:棒杰股份;603212.SH:赛伍技术;601865.SH:福莱特,15,14,0.9333333333
光刻胶,0,single_wave_one_day,1,0,0,0,1,0,2025-12-01,2025-12-01,1,1,1,3,3,1,6,1,301256.SZ:华融化学,0,0,
光模块,1,single_wave_one_day,1,0,0,0,1,1,2026-01-16,2026-01-16,1,1,1,2,2,2,5,1,002796.SZ:世嘉科技,0,0,
军工,1,recurrent_union,7,1,1,1,9,4,2025-11-17,2026-08-10,9,1,2,38,7,6,3,6,300427.SZ:红相股份;000547.SZ:航天发展;300719.SZ:安达维尔;301213.SZ:观想科技;601606.SH:长城军工;301357.SZ:北方长龙,6,5,0.8333333333
农业,1,recurrent_union,17,1,1,1,26,12,2025-11-17,2026-08-31,26,1,5,137,23,7,1,14,000798.SZ:中水渔业;603585.SH:苏利股份;003042.SZ:中农联合;600313.SH:农发种业;605033.SH:美邦股份;600108.SH:亚盛集团;600226.SH:亨通股份;600195.SH:中牧股份;002124.SZ:天邦食品;000626.SZ:远大控股;001313.SZ:粤海饲料;002696.SZ:百洋股份;600127.SH:金健米业;600371.SH:万向德农,16,14,0.875
包装印刷,0,recurrent_union,2,1,0,1,2,0,2025-11-13,2026-06-23,2,1.0,1,5,3,2,10,2,003018.SZ:金富科技;001279.SZ:强邦新材,1,1,1.0
化工,1,recurrent_union,26,1,0,1,104,53,2025-11-03,2026-08-31,104,2.0,19,609,31,8,1,24,603823.SH:百合花;603067.SH:振华股份;605399.SH:晨光新材;605366.SH:宏柏新材;603113.SH:金能科技;002585.SZ:双星新材;002201.SZ:九鼎新材;600370.SH:三房巷;002165.SZ:红宝丽;002455.SZ:百川股份;002470.SZ:金正大;600844.SH:金煤科技;605006.SH:山东玻纤;002408.SZ:齐翔腾达;300905.SZ:宝丽迪;600714.SH:金瑞矿业;001359.SZ:平安电工;600227.SH:赤天化;600722.SH:金牛化工;300169.SZ:天晟新材;002407.SZ:多氟多;002476.SZ:宝莫股份;600610.SH:中毅达;002886.SZ:沃特股份,25,25,1.0
北京市,0,single_wave_one_day,1,0,0,0,1,0,2026-02-03,2026-02-03,1,1,1,3,3,1,8,1,600683.SH:京投发展,0,0,
医疗器械,1,recurrent_union,3,1,0,1,3,1,2026-03-13,2026-06-11,3,1,1,8,3,3,5,3,300981.SZ:中红医疗;002432.SZ:九安医疗;301580.SZ:爱迪特,2,2,1.0
医药,1,recurrent_union,25,1,1,1,84,56,2025-10-31,2026-08-28,84,2,18,498,24,12,1,18,603122.SH:合富中国;600645.SH:中源协和;000952.SZ:广济药业;000078.SZ:海王生物;002788.SZ:鹭燕医药;002462.SZ:嘉事堂;300871.SZ:回盛生物;002728.SZ:特一药业;688176.SH:亚虹医药;600488.SH:津药药业;600664.SH:哈药股份;002412.SZ:汉森制药;002317.SZ:众生药业;000518.SZ:四环生物;600851.SH:海欣股份;000566.SZ:海南海药;002900.SZ:哈三联;600613.SH:神奇制药,24,20,0.8333333333
华为昇腾,1,single_wave_multiday,1,0,0,0,2,1,2026-04-24,2026-04-27,2,2,2,7,5,3,4,1,000062.SZ:深圳华强,0,0,
华为概念,1,single_wave_one_day,1,0,0,0,1,1,2025-11-17,2025-11-17,1,1,1,6,6,1,4,1,300659.SZ:中孚信息,0,0,
发电机,1,recurrent_union,3,1,0,1,3,1,2026-02-26,2026-05-13,3,1,1,10,4,2,4,3,002283.SZ:天润工业;600590.SH:泰豪科技;002760.SZ:凤形股份,2,2,1.0
可控核聚变,1,recurrent_union,2,1,0,1,2,1,2025-12-26,2026-06-29,2,1.0,1,9,7,2,4,2,000777.SZ:中核科技;002639.SZ:雪人集团,1,1,1.0
商业航天,1,recurrent_union,19,1,1,1,78,52,2025-11-07,2026-08-19,78,1,22,660,43,11,1,15,300102.SZ:乾照光电;603131.SH:上海沪工;600151.SH:航天机电;600783.SH:鲁信创投;002361.SZ:神剑股份;301232.SZ:飞沃科技;002297.SZ:博云新材;002081.SZ:金螳螂;603601.SH:再升科技;003009.SZ:中天火箭;688010.SH:福光股份;688311.SH:盟升电子;600992.SH:贵绳股份;600343.SH:航天动力;300069.SZ:金利华电,18,16,0.8888888889
固态电池,1,single_wave_one_day,1,0,0,0,1,1,2025-11-05,2025-11-05,1,1,1,4,4,1,5,1,002805.SZ:丰元股份,0,0,
